x,y,sector,localidad,s11_n
4877517.89434459,2053731.30943183,Oficial,Usme,
4877920.848304,2053926.3572975,Oficial,Usme,226
4877755.1033848,2054672.38051828,Oficial,Usme,
4876166.25069472,2058956.08918647,Oficial,Usme,452
4875446.92435978,2052573.93141583,Oficial,Usme,54
4878081.89270038,2056575.5503498,Oficial,Usme,34
4875664.07933161,2052507.07902604,Oficial,Usme,214
4875138.19966902,2052133.80655046,Oficial,Usme,
4875446.92435978,2052573.93141583,Oficial,Usme,
4877273.13052107,2057266.65426953,Oficial,Usme,104
4875918.72801506,2057306.37490101,Oficial,Usme,
4876693.94616413,2056697.53804577,Oficial,Usme,574
4876554.24307275,2056728.08520531,Oficial,Usme,
4876517.56945001,2056630.57491271,Oficial,Usme,
4877654.57018706,2056533.83559986,Oficial,Usme,92
4877652.87692132,2056541.37766687,Oficial,Usme,
4877226.05349445,2056131.62058614,Oficial,Usme,208
4877132.70348962,2056368.2883975,Oficial,Usme,
4876952.63089675,2056241.38446326,Oficial,Usme,174
4877146.9813644,2055188.34075356,Oficial,Usme,94
4875494.6840874,2057190.90132084,Oficial,Usme,
4875808.41610534,2054782.50663671,Oficial,Usme,
4876987.34187842,2059002.62697558,Oficial,Usme,174
4876342.21990739,2059529.7215371,Oficial,Usme,
4877571.89600782,2059005.90420011,Oficial,Usme,
4877820.80628008,2055198.4476318,No oficial,Usme,
4876446.41913784,2056754.65874688,No oficial,Usme,30
4876423.18535838,2056996.26025169,No oficial,Usme,34
4875800.40251433,2057516.25611268,No oficial,Usme,54
4876007.7625287,2057078.01937309,No oficial,Usme,
4876726.35093066,2056436.21671147,No oficial,Usme,18
4876450.12159868,2054867.41969385,No oficial,Usme,14
4876388.70306132,2056740.0249404,No oficial,Usme,44
4876784.69751545,2056527.44733261,No oficial,Usme,36
4876418.88082492,2056916.43586824,No oficial,Usme,48
4876306.60457115,2056565.36290226,No oficial,Usme,
4876513.56778811,2056589.21713045,No oficial,Usme,94
4876613.49334589,2056248.41006112,No oficial,Usme,30
4876270.48259009,2056090.21750745,No oficial,Usme,80
4876421.13770334,2059583.70083648,No oficial,Usme,62
4877087.67965128,2055767.70895592,No oficial,Usme,78
4877181.84775623,2054979.37064632,No oficial,Usme,14
4875884.9966342,2057272.70813831,No oficial,Usme,22
4877262.72924039,2055936.67206443,No oficial,Usme,
4876523.15296701,2055857.60243164,No oficial,Usme,26
4876139.07564401,2059717.93870388,No oficial,Usme,12
4875378.22717928,2057827.70299567,No oficial,Usme,
4877006.85480823,2056367.63188856,No oficial,Usme,66
4877855.99310893,2054956.6642508,No oficial,Usme,
4877570.11960317,2055721.57638956,No oficial,Usme,14
4876084.77830913,2057423.58889641,No oficial,Usme,
4877356.50580612,2056364.36119434,No oficial,Usme,58
4877268.67797634,2053961.97929718,No oficial,Usme,
4877385.156216,2055351.23919882,No oficial,Usme,
4875935.80352013,2060031.53686972,No oficial,Usme,
4875764.93000014,2058260.84157456,No oficial,Usme,
4876403.39722119,2056670.40099878,No oficial,Usme,76
4875918.62723145,2057284.12459955,No oficial,Usme,
4877262.47881169,2055249.38374052,No oficial,Usme,
4877593.32486823,2054524.11578477,No oficial,Usme,66
4874553.82692391,2064031.06383199,Oficial,Tunjuelito,60
4874414.43292057,2063992.52178565,Oficial,Tunjuelito,366
4873196.59825911,2065516.18162409,Oficial,Tunjuelito,358
4872720.39039377,2064906.5149409,Oficial,Tunjuelito,
4873817.33796995,2064790.36885747,Oficial,Tunjuelito,450
4873757.99325219,2064713.21575093,Oficial,Tunjuelito,
4873347.14063475,2064941.67308308,Oficial,Tunjuelito,
4873846.74688694,2065030.36930354,Oficial,Tunjuelito,
4874819.72190265,2064186.09484534,Oficial,Tunjuelito,176
4874468.85004474,2064548.14157505,Oficial,Tunjuelito,
4874097.56405655,2064037.69796421,Oficial,Tunjuelito,254
4873767.30805764,2063907.86445467,Oficial,Tunjuelito,334
4873563.17615132,2063905.5383843,Oficial,Tunjuelito,
4875268.61797886,2061981.15160848,Oficial,Tunjuelito,218
4875370.1567687,2061476.10093793,Oficial,Tunjuelito,
4874774.06204889,2061868.99417114,Oficial,Tunjuelito,
4874774.06204889,2061868.99417114,Oficial,Tunjuelito,
4874478.00965935,2063754.15420642,Oficial,Tunjuelito,498
4874476.07672553,2064518.98480403,Oficial,Tunjuelito,
4875085.11751784,2063222.08543318,Oficial,Tunjuelito,234
4872210.03333364,2065230.15278873,Oficial,Tunjuelito,138
4874436.69327413,2062462.40999796,Oficial,Tunjuelito,92
4874906.79367019,2063024.78696496,Oficial,Tunjuelito,274
4873911.87741481,2062709.30645612,Oficial,Tunjuelito,96
4874210.27969773,2062663.85668258,Oficial,Tunjuelito,
4875540.11353889,2060808.84694961,No oficial,Tunjuelito,38
4874694.45437633,2062056.61694996,No oficial,Tunjuelito,62
4874193.5234074,2064386.96634538,No oficial,Tunjuelito,
4873413.37023057,2065287.29808565,No oficial,Tunjuelito,80
4874683.04577863,2062687.57752382,No oficial,Tunjuelito,174
4874195.02104293,2064509.94091275,No oficial,Tunjuelito,326
4873942.84643021,2065429.46403865,No oficial,Tunjuelito,226
4874422.17948444,2062629.41017498,No oficial,Tunjuelito,44
4874692.62944092,2062620.89550122,No oficial,Tunjuelito,192
4875341.13823846,2061819.85053308,No oficial,Tunjuelito,
4873524.44330329,2065609.2008067,No oficial,Tunjuelito,86
4875366.93073821,2061659.78253944,No oficial,Tunjuelito,
4873214.30528001,2063959.86051775,No oficial,Tunjuelito,116
4872666.0131146,2065057.92714816,No oficial,Tunjuelito,94
4874235.74103262,2062693.73658031,No oficial,Tunjuelito,
4873646.19455033,2064950.78013629,No oficial,Tunjuelito,46
4874967.77777704,2063016.15214852,No oficial,Tunjuelito,32
4874713.33247853,2063791.39296647,No oficial,Tunjuelito,
4871896.82493662,2065348.90910884,No oficial,Tunjuelito,
4874921.63704023,2063724.48829263,No oficial,Tunjuelito,36
4875133.58351609,2063474.22397302,No oficial,Rafael Uribe Uribe,86
4874107.05374909,2064836.92565341,No oficial,Tunjuelito,
4874658.97230008,2062898.51061057,No oficial,Tunjuelito,
4874088.73688914,2064092.67512678,No oficial,Tunjuelito,
4873385.42592652,2065157.8408295,No oficial,Tunjuelito,186
4872789.96819626,2065134.16510103,No oficial,Tunjuelito,
4874013.26898217,2064820.80065633,No oficial,Tunjuelito,
4874771.23022298,2062464.97437273,No oficial,Tunjuelito,
4874007.52243334,2064918.13312665,No oficial,Tunjuelito,
4873033.3764077,2065256.28379047,No oficial,Tunjuelito,
4872914.09519975,2065555.52718144,No oficial,Tunjuelito,
4874880.62293209,2062613.76810698,No oficial,Tunjuelito,
4873661.07402044,2063991.95139892,No oficial,Tunjuelito,
4874667.94528057,2062902.71355434,No oficial,Tunjuelito,
4874045.58783658,2065750.12240905,No oficial,Tunjuelito,46
4873930.6282168,2065766.18083311,No oficial,Tunjuelito,50
4873339.54582519,2064567.78166875,No oficial,Tunjuelito,
4873031.98563313,2065534.22023865,No oficial,Tunjuelito,8
4873921.70751675,2065792.58992734,No oficial,Tunjuelito,240
4873524.44330329,2065609.2008067,No oficial,Tunjuelito,144
4873633.46984569,2065799.02045039,No oficial,Tunjuelito,
4873721.84458922,2064799.69627978,No oficial,Tunjuelito,52
4867280.44757151,2066977.55450027,Oficial,Bosa,540
4867218.52674051,2066357.52696594,Oficial,Bosa,
4865849.52334354,2067913.03426223,Oficial,Bosa,
4868334.5627952,2066363.28075163,Oficial,Bosa,748
4868605.25222077,2067085.7716672,Oficial,Bosa,
