"divipola","municipio","departamento","area_elipsoide_km2","area_3116_km2","area_9377_km2","area_3857_km2","lon_centroide","lat_centroide"
"47703","San Zen<U+00F3>n","Magdalena",268.8761024896,268.8830035911,268.5943033283,277.8935207184,-74.3567480943,9.3276538475
"47707","Santa Ana","Magdalena",1120.3995743744,1120.4374028395,1119.2214169906,1159.2492310999,-74.3394746343,9.5194910867
"47720","Santa B<U+00E1>rbara de Pinto","Magdalena",494.6555566742,494.7041274592,494.265170588,511.8140268464,-74.6479095192,9.5221082759
"47745","Sitionuevo","Magdalena",970.8147939843,970.9045473618,970.0259202828,1013.0537413906,-74.6296372027,10.8902592535
"47798","Tenerife","Magdalena",492.1353670967,492.1992273965,491.7883701854,510.4177810569,-74.7326392298,9.9247052172
"47960","Zapay<U+00E1>n","Magdalena",353.2364662642,353.2762767812,352.9716813587,366.7901382616,-74.6911678006,10.1177887129
"47980","Zona Bananera","Magdalena",446.4706846242,446.4722437648,445.9398833391,465.6066829002,-74.1779813467,10.7963341129
"50006","Acac<U+00ED>as","Meta",1123.6871211865,1123.737928696,1122.0772739254,1136.7465949137,-73.7238927821,4.0096498486
"50110","Barranca de Up<U+00ED>a","Meta",403.6752219816,403.8210635549,403.0298568224,408.9009834063,-72.9954847179,4.5190721924
"50124","Cabuyaro","Meta",913.3124409072,913.6704153569,911.854463201,924.6312964032,-72.9526894637,4.3152443825
"50150","Castilla la Nueva","Meta",514.6405143544,514.6869507128,513.8651266731,520.3694801634,-73.5388600975,3.8051581463
"50223","Cubarral","Meta",1157.8557429563,1157.8654772574,1156.421819027,1170.8095628041,-74.0752938959,3.8282538728
"50226","Cumaral","Meta",624.9786560529,625.0924976885,624.0008102353,632.5908861721,-73.3147701409,4.2325338283
"50245","El Calvario","Meta",277.8402203389,277.8516206653,277.439256109,281.3124997647,-73.714414529,4.3537693345
"50251","El Castillo","Meta",568.2108457727,568.2180566765,567.4397086208,574.2943573598,-73.8880023051,3.615623778
"50270","El Dorado","Meta",117.3388797299,117.341083424,117.175995242,118.6189372023,-73.8316182709,3.7069695766
"50287","Fuente de Oro","Meta",570.9498289286,570.9911887767,570.0995709092,576.7793250321,-73.5962516058,3.3823690888
"50313","Granada","Meta",348.299850946,348.3117834281,347.8023862317,351.9392524496,-73.7469627088,3.4965598969
"50318","Guamal","Meta",595.698274709,595.7036812513,594.9156734613,602.5316663539,-73.9598274199,3.9477817197
"50330","Mesetas","Meta",2280.6241340489,2280.6302077751,2277.8617829327,2302.9176803203,-74.1245288869,3.154717387
"50370","Uribe","Meta",6436.9091266827,6437.2087512848,6430.6922798703,6498.6091988366,-74.4306470377,3.0476454084
"50400","Lejan<U+00ED>as","Meta",815.4242774096,815.4263347645,814.4210125907,824.1540216496,-74.0962743639,3.6147105176
"50573","Puerto L<U+00F3>pez","Meta",6908.8004699903,6913.2945689704,6898.1840574632,6989.2297593681,-72.6457461477,4.0143075633
"50606","Restrepo","Meta",365.0735723551,365.1166063442,364.5170875808,369.5254584731,-73.473643587,4.2374716735
