proceso,t
hawkes,628.17628332837
hawkes,630.341057396468
hawkes,631.012473623143
hawkes,631.166853143944
hawkes,631.196834302584
hawkes,632.343932834438
hawkes,632.350453455763
hawkes,634.069325545529
hawkes,634.244275530393
hawkes,634.349292021084
hawkes,635.145895495244
hawkes,635.395635412143
hawkes,635.407586754222
hawkes,636.003299606144
hawkes,638.523261644143
hawkes,639.002499801004
hawkes,639.424035135427
hawkes,640.311205900522
hawkes,640.870870915606
hawkes,641.960364690437
hawkes,650.231925604936
hawkes,650.436248457012
hawkes,651.091985330388
hawkes,656.459009817431
hawkes,659.80074551625
hawkes,660.150636624923
hawkes,660.200375720927
hawkes,661.01722458628
hawkes,664.691951777745
hawkes,667.079938012871
hawkes,667.249913386782
hawkes,667.333734877896
hawkes,667.685983628343
hawkes,668.971401218273
hawkes,673.982729475714
hawkes,675.489884162049
hawkes,676.216642723493
hawkes,676.522055406372
hawkes,676.957360399421
hawkes,680.086966695097
hawkes,682.262753665868
hawkes,686.34625768832
hawkes,686.97919124913
hawkes,687.498040284241
hawkes,687.822733020239
hawkes,688.02602757539
hawkes,688.252759385899
hawkes,688.493336049674
hawkes,688.657478081537
hawkes,688.885495071941
hawkes,689.581639374109
hawkes,689.669547534313
hawkes,690.343390697684
hawkes,690.565897725842
hawkes,690.693749288255
hawkes,690.895896611277
hawkes,692.016023196832
hawkes,692.684966804345
hawkes,692.93068220997
hawkes,693.362511582525
hawkes,694.665336540412
hawkes,699.598068105827
hawkes,702.103939102491
hawkes,705.99271553653
hawkes,707.352984831963
hawkes,707.788458184813
hawkes,707.81964852705
hawkes,708.681215296393
hawkes,708.778228915594
hawkes,710.868597667187
hawkes,711.380086168592
hawkes,712.640283090671
hawkes,713.600175156211
hawkes,716.428660911164
hawkes,716.605239466627
hawkes,717.55090192522
hawkes,718.236480210175
hawkes,718.308416593759
hawkes,719.5324544674
hawkes,719.62960794537
hawkes,722.080142430868
hawkes,722.304122234552
hawkes,722.799402717556
hawkes,723.453393432912
hawkes,723.656367910477
hawkes,723.949892850009
hawkes,724.415186321386
hawkes,725.906121138294
hawkes,726.241732158673
hawkes,726.296307389986
hawkes,726.307904732922
hawkes,726.345790067166
hawkes,727.290147429706
hawkes,727.348722120575
hawkes,727.570978619858
hawkes,727.667010026478
hawkes,727.688100033576
hawkes,728.013339765186
hawkes,728.192071204891
hawkes,728.549712118743
hawkes,729.304505736057
