divipola,municipio,departamento,desercion,wy,vecinos
25592,Quebradanegra,Cundinamarca,4.03,2.735,4
25594,Quetame,Cundinamarca,1.21,3.284,5
25596,Quipile,Cundinamarca,5.19,3.3,9
25599,Apulo,Cundinamarca,3.07,4.1925,4
25612,Ricaurte,Cundinamarca,6.32,3.97,8
25645,San Antonio del Tequendama,Cundinamarca,3.06,3.748,5
25649,San Bernardo,Cundinamarca,2.92,2.304,5
25653,San Cayetano,Cundinamarca,5.97,2.5383333333,6
25658,San Francisco,Cundinamarca,2.83,2.852,5
25662,San Juan de Río Seco,Cundinamarca,1.9,3.9271428571,7
25718,Sasaima,Cundinamarca,6.42,3.804,5
25736,Sesquilé,Cundinamarca,3.38,3.032,5
25740,Sibaté,Cundinamarca,3.53,3.71,5
25743,Silvania,Cundinamarca,5.48,3.798,5
25745,Simijaca,Cundinamarca,2.92,2.1116666667,6
25754,Soacha,Cundinamarca,4.04,2.7428571429,7
25758,Sopó,Cundinamarca,2.78,3.4385714286,7
25769,Subachoque,Cundinamarca,2.1,3.48625,8
25772,Suesca,Cundinamarca,4.32,3.2285714286,7
25777,Supatá,Cundinamarca,3.05,2.188,5
25779,Susa,Cundinamarca,1.71,2.2166666667,6
25781,Sutatausa,Cundinamarca,2.79,2.6875,4
25785,Tabio,Cundinamarca,2.37,3.21,5
25793,Tausa,Cundinamarca,2.31,3.5575,8
25797,Tena,Cundinamarca,4.55,3.4075,4
25799,Tenjo,Cundinamarca,2.79,2.9933333333,6
25805,Tibacuy,Cundinamarca,4.34,3.918,5
25807,Tibirita,Cundinamarca,1.41,1.5316666667,6
25815,Tocaima,Cundinamarca,6.44,3.80625,8
25817,Tocancipá,Cundinamarca,3.45,3.6333333333,6
25823,Topaipí,Cundinamarca,5.04,2.725,6
25839,Ubalá,Cundinamarca,1.07,2.70875,8
25841,Ubaque,Cundinamarca,2.03,2.502,5
25843,Villa de San Diego de Ubate,Cundinamarca,2.58,2.2628571429,7
25845,Une,Cundinamarca,1.22,1.946,5
25851,Útica,Cundinamarca,0.8,3.2433333333,6
25862,Vergara,Cundinamarca,1.45,2.435,6
25867,Vianí,Cundinamarca,2.56,3.6833333333,6
25871,Villagómez,Cundinamarca,2.51,4.38,4
25873,Villapinzón,Cundinamarca,1.67,1.6671428571,7
25875,Villeta,Cundinamarca,4.68,3.7355555556,9
25878,Viotá,Cundinamarca,4.19,4.20375,8
25885,Yacopí,Cundinamarca,3.12,2.8022222222,9
25898,Zipacón,Cundinamarca,3.85,3.618,5
25899,Zipaquirá,Cundinamarca,4.51,3.11,9
41001,Neiva,Huila,5.75,5.5383333333,6
41006,Acevedo,Huila,4.64,4.8985714286,7
41013,Agrado,Huila,2.2,3.934,5
41016,Aipe,Huila,5.32,4.3766666667,6
41020,Algeciras,Huila,3.17,5.45875,8
41026,Altamira,Huila,4.13,3.7185714286,7
41078,Baraya,Huila,4.19,4.6716666667,6
41132,Campoalegre,Huila,3.88,3.74,5
41206,Colombia,Huila,4.21,2.9116666667,6
41244,Elías,Huila,1.89,4.376,5
41298,Garzón,Huila,3.96,4.5966666667,6
41306,Gigante,Huila,4.44,4.0533333333,9
41319,Guadalupe,Huila,3.08,4.745,4
41357,Iquira,Huila,5.2,3.716,5
41359,Isnos,Huila,4.4,4.354,5
41378,La Argentina,Huila,4.78,3.8714285714,7
41396,La Plata,Huila,3.21,3.6133333333,6
41483,Nátaga,Huila,3.18,4.2675,4
41503,Oporapa,Huila,3.27,4.095,4
41518,Paicol,Huila,4.07,3.4142857143,7
41524,Palermo,Huila,4.57,4.4657142857,7
41530,Palestina,Huila,3.93,5.104,5
41548,Pital,Huila,3.07,3.815,6
41551,Pitalito,Huila,4.64,4.23625,8
41615,Rivera,Huila,4.85,5.034,5
41660,Saladoblanco,Huila,5.21,3.7366666667,6
41668,San Agustín,Huila,3.7,3.83,7
41676,Santa María,Huila,3.97,5.06,3
41770,Suaza,Huila,4.96,4.6933333333,6
41791,Tarqui,Huila,4.5,3.5666666667,6
41797,Tesalia,Huila,3.75,3.818,5
41799,Tello,Huila,5.48,5.338,5
41801,Teruel,Huila,5.4,4.2,6
41807,Timaná,Huila,4.26,4.1266666667,6
41872,Villavieja,Huila,3.63,4.05,5
41885,Yaguará,Huila,2.2,4.45,7
44035,Albania,La Guajira,2.58,3.27,4
44078,Barrancas,La Guajira,3.52,3.47,4
44090,Dibulla,La Guajira,4.32,3.778,5
44098,Distracción,La Guajira,4.78,3.8733333333,3
44110,El Molino,La Guajira,4.05,3.74,2
44279,Fonseca,La Guajira,4.57,3.8375,4
44378,Hatonuevo,La Guajira,3.08,3.25,3
44420,La Jagua del Pilar,La Guajira,3.03,3.9325,4
44430,Maicao,La Guajira,2.83,2.5475,4
44560,Manaure,La Guajira,2.34,2.7,3
44650,San Juan del Cesar,La Guajira,3.4,4.2114285714,7
44855,Urumita,La Guajira,1.56,3.7133333333,3
44874,Villanueva,La Guajira,4.08,3.26,4
47030,Algarrobo,Magdalena,2.85,3.8233333333,3
18410,La Montañita,Caquetá,6.83,6.78,5
18460,Milán,Caquetá,4.75,6.94,5
18479,Morelia,Caquetá,10.28,5.45,4
18592,Puerto Rico,Caquetá,5.57,6.2875,4
18610,San José del Fragua,Caquetá,6.91,5.4416666667,6
18860,Valparaíso,Caquetá,5,6.8157142857,7
19001,Popayán,Cauca,3.38,3.41,6
19022,Almaguer,Cauca,2.24,3.0525,4
19050,Argelia,Cauca,4.77,3.1983333333,6
19075,Balboa,Cauca,5.29,3.506,5
19100,Bolívar,Cauca,2.35,3.2611111111,9
19110,Buenos Aires,Cauca,1.88,3.6371428571,7
19130,Cajibío,Cauca,3,3.3583333333,6
19137,Caldono,Cauca,2.18,2.7133333333,6
19142,Caloto,Cauca,2.74,2.92,8
19212,Corinto,Cauca,3.2,3.44,5
19256,El Tambo,Cauca,4.76,3.111,10
19290,Florencia,Cauca,5.67,2.2975,4
19300,Guachene,Cauca,1.7,2.3366666667,3
19355,Inzá,Cauca,2.27,3.322,5
19364,Jambaló,Cauca,2.4,3.2516666667,6
19392,La Sierra,Cauca,1.77,3.3566666667,6
19397,La Vega,Cauca,4.14,2.585,6
19450,Mercaderes,Cauca,3.85,3.1422222222,9
19455,Miranda,Cauca,2.63,4.2271428571,7
19473,Morales,Cauca,3.33,3.1228571429,7
19513,Padilla,Cauca,1.98,2.512,5
19517,Paez,Cauca,4.05,3.8,10
19532,Patía,Cauca,3.09,3.7514285714,7
19533,Piamonte,Cauca,3.47,6.5671428571,7
19548,Piendamó,Cauca,2.77,2.7325,4
19573,Puerto Tejada,Cauca,2.29,3.51375,8
19585,Puracé,Cauca,3.44,3.6133333333,9
19622,Rosas,Cauca,2.6,3.075,4
19693,San Sebastián,Cauca,2.25,3.658,5
19698,Santander de Quilichao,Cauca,3.48,3.1266666667,6
19701,Santa Rosa,Cauca,5.86,3.1866666667,9
19743,Silvia,Cauca,2.42,2.88,7
19760,Sotara,Cauca,2.08,3.2457142857,7
19780,Suárez,Cauca,3.82,2.8866666667,3
19785,Sucre,Cauca,3.47,2.718,5
19807,Timbío,Cauca,3.69,3.205,4
19821,Toribio,Cauca,4.64,3.52,5
19824,Totoró,Cauca,3.49,2.902,5
19845,Villa Rica,Cauca,3.67,3.6,4
20011,Aguachica,Cesar,4.08,4.815,8
20013,Agustín Codazzi,Cesar,5.71,6.1233333333,3
20032,Astrea,Cesar,6.63,4.59,5
20060,Bosconia,Cesar,7.3,4.472,5
20175,Chimichagua,Cesar,4.32,4.2111111111,9
20178,Chiriguaná,Cesar,5.63,5.63,5
20228,Curumaní,Cesar,5.67,4.86,3
20238,El Copey,Cesar,6.98,3.835,6
