divipola,municipio,departamento,desercion,vecinos,z,wz,Ii,p_rangos,cuadrante,lisa,lisa_bonferroni,lisa_fdr,gistar_z,gistar_p,gistar
19418,López,Cauca,3.45,6,0.0149560516,-0.1331544716,-0.0019932432,0.38656,High-Low,1,1,1,-0.2972426097,0.39,4
50325,Mapiripán,Meta,12.29,7,5.0186389499,1.5060341487,7.5649900683,0.00052,High-High,2,1,2,5.5213379233,6e-04,7
50577,Puerto Lleras,Meta,5.77,6,1.3281397987,2.005486013,2.6659439734,0.00016,High-High,2,1,2,5.0658458585,4e-05,7
94343,Barranco Minas,Guainía,4.4,3,0.5526821549,1.9658640896,1.0874680889,0.00296,High-High,2,1,2,3.2309066928,0.00388,7
94886,Cacahual,Guainía,2.03,2,-0.788802966,0.3319314388,-0.2620622789,0.29028,Low-High,1,1,1,-0.0722309099,0.28744,4
76233,Dagua,Valle del Cauca,4.11,4,0.3885341866,0.736641085,0.2864657896,0.07648,High-High,1,1,1,1.4948388464,0.07512,5
76109,Buenaventura,Valle del Cauca,3.31,7,-0.0642877952,0.1637404171,-0.0105359091,0.315,Low-High,1,1,1,0.3838799187,0.31268,4
50001,Villavicencio,Meta,4.11,6,0.3885341866,0.5838136662,0.2270340961,0.08004,High-High,1,1,1,1.4754308896,0.07984,5
27250,El Litoral del San Juan,Chocó,1.49,8,-1.0944578036,0.3050451337,-0.3341571154,0.18896,Low-High,1,1,1,0.4504462802,0.1912,4
73001,Ibagué,Tolima,4.18,8,0.42815611,-0.1958891836,-0.0839460358,0.30468,High-Low,1,1,1,-0.3811857202,0.29976,4
27745,Sipí,Chocó,1.48,9,-1.1001180784,0.7577098856,-0.8343146025,0.01708,Low-High,5,1,1,1.8167135027,0.01724,6
11001,"Bogotá, D.C.","Bogotá, D.C.",2.49,20,-0.5284303265,-0.3068305691,0.1622833444,0.07552,Low-Low,1,1,1,-1.4682489127,0.07796,3
47001,Santa Marta,Magdalena,4.66,4,0.699849299,0.4380615908,0.3068508268,0.17856,High-High,1,1,1,1.099064337,0.18008,4
44001,Riohacha,La Guajira,3.65,9,0.1281615471,0.0382260701,0.0049034865,0.42956,High-High,1,1,1,0.1499920513,0.43336,4
44847,Uribia,La Guajira,1.62,2,-1.0208742316,-0.4746577161,0.4849984793,0.26016,Low-Low,1,1,1,-1.1390146591,0.2632,4
88564,Providencia,"Archipiélago de San Andrés, Providencia y Santa Catalina",1.41,0,-1.1397400018,0,0,,Low-Low,,,,-1.1402487008,4e-05,
85162,Monterrey,Casanare,3.07,4,-0.2001343897,-0.0487220396,0.0097596619,0.49212,Low-Low,1,1,1,-0.1770547542,0.48908,4
50568,Puerto Gaitán,Meta,3.95,7,0.2979697902,1.8771864515,0.5598442682,0.00012,High-High,2,1,2,4.7681922034,0.00016,7
20045,Becerril,Cesar,5.42,3,1.1300301817,1.3149324909,1.4872401099,0.02052,High-High,2,1,1,2.5419530326,0.02012,6
27361,Istmina,Chocó,3.36,9,-0.0359864213,-0.7730799805,0.0278452215,0.00436,Low-Low,3,1,3,-2.2215350193,0.00424,1
70001,Sincelejo,Sucre,3.02,8,-0.2284357636,-0.3543768772,0.0810246314,0.1534,Low-Low,1,1,1,-1.0252742855,0.15264,4
05001,Medellín,Antioquia,3.18,11,-0.1378713672,0.3082611989,-0.0425383397,0.1532,Low-High,1,1,1,0.9441276497,0.1526,4
05240,Ebéjico,Antioquia,3.2,7,-0.1265508177,0.3634672554,-0.0460381472,0.16344,Low-High,1,1,1,0.8578596252,0.16416,4
05212,Copacabana,Antioquia,3.81,6,0.2187259434,0.4366465221,0.0955911956,0.13928,High-High,1,1,1,1.0762574381,0.1386,4
05088,Bello,Antioquia,3.92,4,0.2809889659,0.5795684601,0.1629977462,0.12196,High-High,1,1,1,1.1650267553,0.1216,4
05308,Girardota,Antioquia,4.38,6,0.5413616054,0.3979679779,0.2156369446,0.15652,High-High,1,1,1,1.1105949393,0.16284,4
27073,Bagadó,Chocó,0.82,8,-1.4736962134,-0.178200825,0.2628483576,0.32676,Low-Low,1,1,1,-0.9703373196,0.32156,4
27600,Río Quito,Chocó,2.72,5,-0.3982440067,-0.7118232291,0.2837324414,0.04224,Low-Low,3,1,1,-1.6199265516,0.04208,2
27050,Atrato,Chocó,2.24,4,-0.6699371958,-0.862386538,0.5782606625,0.02872,Low-Low,3,1,1,-1.8464113387,0.02776,2
20400,La Jagua de Ibirico,Cesar,4.88,3,0.824375344,1.4017233707,1.1565779236,0.0168,High-High,2,1,1,2.5192714306,0.01676,6
85263,Pore,Casanare,4.63,5,0.6828684747,0.4236278901,0.2895404188,0.16624,High-High,1,1,1,1.1465792688,0.16608,4
05631,Sabaneta,Antioquia,3.53,4,0.0602382498,0.3658930875,0.0220604385,0.21904,High-High,1,1,1,0.6829936989,0.21932,4
05380,La Estrella,Antioquia,2.8,5,-0.3529618085,0.0138239967,-0.0048836994,0.458,Low-Low,1,1,1,-0.1161893008,0.46324,4
