x,y,dane_sede,sector,clase,zona,estrato
4879927.88837633,2059490.01952022,111001012289,Oficial,Distrital,Urbana,2
4879947.23588669,2059818.02455223,111001012319,Oficial,Distrital,Urbana,2
4878429.75254144,2062760.76127604,111001027324,Oficial,Distrital,Urbana,3
4879647.46992971,2063214.5863886,111001030066,Oficial,Distrital,Urbana,2
4878569.35408384,2061512.22953349,111001030864,Oficial,Distrital,Urbana,
4877999.78978439,2061775.88293916,111001029629,Oficial,Distrital,Urbana,2
4879459.13470141,2062538.1392761,111001032280,Oficial,Distrital,Urbana,2
4879320.69791931,2062138.76109395,111001014419,Oficial,Distrital,Urbana,2
4879520.79369205,2062134.42776318,111001012416,Oficial,Distrital,Urbana,2
4880213.44376204,2063834.95105651,111001032433,Oficial,Distrital,Urbana,2
4880567.91046723,2063623.82387112,111001014311,Oficial,Distrital,Urbana,2
4879139.20393357,2057829.10749775,111001034011,Oficial,Distrital,Urbana,1
4879368.32750833,2057526.40796107,111001016276,Oficial,Distrital,Urbana,1
4879141.08027649,2063580.82296657,111001035530,Oficial,Distrital,Urbana,3
4879794.82496685,2063856.31975512,111001013226,Oficial,Distrital,Urbana,3
4880304.4213387,2063379.04533132,111001012025,Oficial,Distrital,Urbana,1
4879400.61460717,2063617.80851999,111001107841,Oficial,Distrital,Urbana,3
4878507.21168869,2061090.30983981,111001035602,Oficial,Distrital,Urbana,
4879403.61078321,2058440.7392658,111001046621,Oficial,Distrital,Urbana,2
4878779.62761664,2063764.78423798,111001086789,Oficial,Distrital,Urbana,3
4878536.01008934,2063514.67302746,111001015873,Oficial,Distrital,Urbana,3
4878490.10723897,2059918.53901262,111001098817,Oficial,Distrital - administracion contratada,Urbana,2
4879319.14429674,2061440.24679116,111001098825,Oficial,Distrital - administracion contratada,Urbana,
4879038.658494,2064230.8979045,111001102016,Oficial,Distrital,Urbana,3
4879480.4851035,2058309.71856276,111001801047,Oficial,Distrital,Urbana,
4879402.46518808,2064097.78015164,311001000085,No oficial,Privado,Urbana,3
4879387.05214937,2060125.37430198,311001001642,No oficial,Privado,Urbana,2
4879168.49840488,2063763.26291218,311001002461,No oficial,Privado,Urbana,3
4879140.81481935,2063390.48470553,311001002681,No oficial,Privado,Urbana,3
4878846.80231067,2063580.51974362,311001002843,No oficial,Privado,Urbana,3
4878916.13528813,2060981.99819438,311001005508,No oficial,Privado,Urbana,2
4878717.62307088,2060855.87419375,311001006601,No oficial,Privado,Urbana,2
4879323.60381358,2064141.84829876,311001006610,No oficial,Privado,Urbana,3
4879218.69298775,2064391.39067286,311001009341,No oficial,Privado,Urbana,
4879378.48790928,2062600.26942395,311001011877,No oficial,Privado,Urbana,2
4879564.4136314,2063927.70585584,311001017522,No oficial,Privado,Urbana,
4878824.37579674,2061012.78264585,311001020191,No oficial,Privado,Urbana,2
4880215.62767524,2064252.88469832,311001024901,No oficial,Privado,Urbana,2
4879617.57071505,2064360.39825138,311001029474,No oficial,Privado,Urbana,3
4879488.27847309,2058988.54154536,311001029920,No oficial,Privado,Urbana,2
4879699.53958146,2058860.00336036,311001033391,No oficial,Privado,Urbana,2
4878619.11993093,2060919.87140466,311001034117,No oficial,Privado,Urbana,2
4879068.69746837,2063287.59205228,311001038732,No oficial,Privado,Urbana,3
4879544.80082082,2058949.81375546,311001038783,No oficial,Privado,Urbana,2
4878902.53110159,2062012.01233077,311001039569,No oficial,Privado,Urbana,2
4879185.83302049,2062645.28937863,311001039836,No oficial,Privado,Urbana,3
4879277.84345233,2062453.25862464,311001040168,No oficial,Privado,Urbana,2
4879827.67273269,2060488.36871655,311001040362,No oficial,Privado,Urbana,2
4879509.3042345,2064664.3128318,311001042012,No oficial,Privado,Urbana,3
4879036.13963109,2061736.91373024,311001043591,No oficial,Privado,Urbana,2
4879291.41062852,2064158.98796506,311001043949,No oficial,Privado,Urbana,3
4879717.07796665,2062711.74986689,311001044716,No oficial,Privado,Urbana,2
4880160.22763492,2063210.17752911,311001045437,No oficial,Privado,Urbana,2
4879811.84823518,2064044.57190461,311001045551,No oficial,Privado,Urbana,3
4879321.94555019,2058865.90600531,311001046492,No oficial,Privado,Urbana,2
4879050.96720053,2061170.04512056,311001047553,No oficial,Privado,Urbana,2
4879042.98716658,2063307.69909509,311001075018,No oficial,Privado,Urbana,3
4879675.16130694,2059507.86507837,311001075689,No oficial,Privado,Urbana,2
4879898.97940341,2063754.93218934,311001075999,No oficial,Privado,Urbana,3
4878974.49955605,2063885.90722239,311001076731,No oficial,Privado,Urbana,3
4879221.33070128,2060640.88351692,311001079862,No oficial,Privado,Urbana,2
4878810.50639965,2060599.47057495,311001079901,No oficial,Privado,Urbana,2
4878589.46813823,2060837.35670401,311001087644,No oficial,Privado,Urbana,2
4878904.52380208,2061446.68971158,311001092141,No oficial,Privado,Urbana,2
4878276.51155538,2060370.7595156,311001092184,No oficial,Privado,Urbana,2
4879083.41861509,2060160.00836115,311001092281,No oficial,Privado,Urbana,2
4879031.34602156,2061026.71092267,311001092371,No oficial,Privado,Urbana,2
4879887.90074947,2058655.95110094,311001096732,No oficial,Privado,Urbana,1
4878309.3621924,2061049.63760238,311001097496,No oficial,Privado,Urbana,2
4879546.39110149,2064329.53676722,311001098107,No oficial,Privado,Urbana,3
4878939.72539441,2060186.41692848,311001099065,No oficial,Privado,Urbana,2
4879025.65896474,2059653.18656489,311001101639,No oficial,Privado,Urbana,2
4879325.57855289,2061204.11769251,311001102406,No oficial,Privado,Urbana,2
4879614.96155579,2059328.13835308,311001102520,No oficial,Privado,Urbana,2
4878829.80372539,2059804.04726034,311001108773,No oficial,Privado,Urbana,2
4879685.95433491,2064006.80867861,311001109419,No oficial,Privado,Urbana,3
4878399.75346436,2063403.13015088,311001109427,No oficial,Privado,Urbana,3
4879784.54411555,2060337.78924819,311001110000,No oficial,Privado,Urbana,2
4879781.99885259,2063759.56732307,311001110131,No oficial,Privado,Urbana,3
4878904.91672932,2061491.57160999,311001110565,No oficial,Privado,Urbana,2
4879066.93957836,2060996.29151577,311001110590,No oficial,Privado,Urbana,2
4878303.98732079,2063097.91050467,311001800367,No oficial,Privado,Urbana,3
4878169.14761338,2061184.77999863,311001800472,No oficial,Privado,Urbana,2
4878182.43954371,2061939.90586422,311848004176,No oficial,Privado,Urbana,2
4879188.64824327,2058027.18639966,311850000111,No oficial,Privado,Urbana,1
4876517.2324914,2056920.07167082,111001013820,Oficial,Distrital,Urbana,2
4876284.85159469,2058137.62331578,111001013935,Oficial,Distrital,Urbana,2
4876281.27116862,2057489.47837844,111001016039,Oficial,Distrital,Urbana,2
4879010.65092812,2056822.13691037,111001024643,Oficial,Distrital,Urbana,1
4879100.02624016,2056842.95601628,111001110442,Oficial,Distrital,Urbana,1
4877956.75017675,2055171.68333859,111001030872,Oficial,Distrital,Urbana,1
4877530.1364953,2055034.48799372,111001075591,Oficial,Distrital,Urbana,1
4879011.12289603,2057099.29200894,111001041556,Oficial,Distrital,Urbana,1
4877046.05114786,2055175.79455308,111001044270,Oficial,Distrital,Urbana,1
4876815.68764924,2055177.14514855,111001096580,Oficial,Distrital,Urbana,1
4875543.08140467,2057918.67673294,111001045705,Oficial,Distrital,Urbana,2
4875795.47992198,2058140.40117909,111001046485,Oficial,Distrital,Urbana,2
4876154.43072124,2056095.19351682,111001046931,Oficial,Distrital,Urbana,2
4876102.44716944,2054792.91787473,111001065234,Oficial,Distrital,Urbana,
4876391.27701077,2054822.08008003,111001046914,Oficial,Distrital,Urbana,1
4876442.364902,2054614.47221203,111001047902,Oficial,Distrital,Urbana,1
4877605.0820308,2056113.11192556,111001077895,Oficial,Distrital,Urbana,1
4877737.46778821,2055846.66600329,111001106933,Oficial,Distrital,Urbana,
4876377.37500087,2057321.52978162,111001077917,Oficial,Distrital,Urbana,2
4876722.18186903,2055647.65956524,111001078638,Oficial,Distrital,Urbana,2
4877371.91465088,2056699.89135514,111001083011,Oficial,Distrital,Urbana,2
4876443.09705105,2056652.89645704,111001104086,Oficial,Distrital,Urbana,2
4876805.60358229,2056042.66635806,111001086614,Oficial,Distrital,Urbana,2
4877236.41194162,2055649.75457013,111001094439,Oficial,Distrital,Urbana,2
4875981.47705845,2055534.1629809,111001098841,Oficial,Distrital - administracion contratada,Urbana,
4877542.05073743,2055009.65104582,111001098850,Oficial,Distrital - administracion contratada,Urbana,1
4876654.23728568,2055392.35834047,111001098868,Oficial,Distrital,Urbana,2
4875837.57682739,2056756.70906553,111001100081,Oficial,Distrital - administracion contratada,Urbana,2
4876347.64615969,2058896.8207069,111001102008,Oficial,Distrital - administracion contratada,Urbana,1
4876521.94489431,2054248.38622141,111001104337,Oficial,Distrital,Urbana,1
4876338.92063468,2054981.61224775,111001104345,Oficial,Distrital,Urbana,1
4876152.62040069,2055509.66012516,111001076201,Oficial,Distrital,Urbana,
4876280.34023004,2055359.75542522,111001107751,Oficial,Distrital,Urbana,1
4877517.89434459,2053731.30943183,111001104353,Oficial,Distrital,Urbana,1
4877920.848304,2053926.3572975,211001094832,Oficial,Distrital,Urbana,
4877755.1033848,2054672.38051828,211001094875,Oficial,Distrital,Urbana,
4876166.25069472,2058956.08918647,111001107760,Oficial,Distrital,Urbana,2
4875446.92435978,2052573.93141583,111001800562,Oficial,Distrital - administracion contratada,Urbana,
4878081.89270038,2056575.5503498,111001800660,Oficial,Distrital - administracion contratada,Urbana,2
4875664.07933161,2052507.07902604,111850000740,Oficial,Distrital,Urbana,2
4875138.19966902,2052133.80655046,111850000081,Oficial,Distrital,Urbana,2
4875446.92435978,2052573.93141583,111001110027,Oficial,Distrital,Urbana,
4877273.13052107,2057266.65426953,111850001380,Oficial,Distrital,Urbana,2
4875918.72801506,2057306.37490101,111001034762,Oficial,Distrital,Urbana,2
4876693.94616413,2056697.53804577,111850001428,Oficial,Distrital,Urbana,2
4876554.24307275,2056728.08520531,111001106798,Oficial,Distrital,Urbana,2
4876517.56945001,2056630.57491271,111001106801,Oficial,Distrital,Urbana,2
4877654.57018706,2056533.83559986,111850001461,Oficial,Distrital,Urbana,2
4877652.87692132,2056541.37766687,111001096601,Oficial,Distrital,Urbana,1
4877226.05349445,2056131.62058614,111850001576,Oficial,Distrital,Urbana,2
4877132.70348962,2056368.2883975,211850000159,Oficial,Distrital,Urbana,2
4876952.63089675,2056241.38446326,211850000051,Oficial,Distrital,Urbana,2
4877146.9813644,2055188.34075356,211850000787,Oficial,Distrital,Urbana,2
4875494.6840874,2057190.90132084,111001096571,Oficial,Distrital,Urbana,
4875808.41610534,2054782.50663671,211850000931,Oficial,Distrital,Urbana,1
4876987.34187842,2059002.62697558,211850001481,Oficial,Distrital,Urbana,2
4876342.21990739,2059529.7215371,111001008168,Oficial,Distrital,Urbana,1
4877571.89600782,2059005.90420011,211850001431,Oficial,Distrital,Urbana,1
4877820.80628008,2055198.4476318,311001000131,No oficial,Privado,Urbana,1
4876446.41913784,2056754.65874688,311001025983,No oficial,Privado,Urbana,2
4876423.18535838,2056996.26025169,311001026891,No oficial,Privado,Urbana,2
4875800.40251433,2057516.25611268,311001032271,No oficial,Privado,Urbana,
4876007.7625287,2057078.01937309,311001036659,No oficial,Privado,Urbana,2
4876726.35093066,2056436.21671147,311001037051,No oficial,Privado,Urbana,2
4876450.12159868,2054867.41969385,311001040338,No oficial,Privado,Urbana,1
4876388.70306132,2056740.0249404,311001041342,No oficial,Privado,Urbana,2
4876784.69751545,2056527.44733261,311001042721,No oficial,Privado,Urbana,2
4876418.88082492,2056916.43586824,311001044902,No oficial,Privado,Urbana,2
