"dane_sede","localidad","estrato","lon","lat","x_9377","y_9377"
"111001012335","San Cristobal",2,-74.0856088698,4.5309164374,4879614.94717449,2058752.10271708
"111001086576","San Cristobal",2,-74.0890708296,4.5320427787,4879231.18549803,2058877.15327948
"111001014184","San Cristobal",2,-74.0889020002,4.5321697749,4879249.93057884,2058891.15983935
"111001012475","San Cristobal",1,-74.0674390499,4.5619045224,4881635.12165798,2062173.66206332
"111001014168","San Cristobal",2,-74.0849916203,4.5454890081,4879685.81648007,2060362.45090439
"111001014192","San Cristobal",2,-74.0862571696,4.5395406627,4879544.47647743,2059705.29505789
"111001012378","San Cristobal",2,-74.0895734801,4.543985522,4879177.42515477,2060197.06097726
"111001014176","San Cristobal",2,-74.0794494399,4.569687329,4880304.46248945,2063035.74323998
"111001012220","San Cristobal",2,-74.0808663203,4.5692483387,4880147.25924325,2062987.46540477
"111001000213","San Cristobal",2,-74.0824363904,4.5717988144,4879973.56454551,2063269.58665794
"111001014451","San Cristobal",2,-74.0836754501,4.5623810266,4879834.58694253,2062229.01046019
"111001012211","San Cristobal",1,-74.0828563599,4.5595291247,4879924.9503481,2061913.70316644
"111001015903","San Cristobal",3,-74.0880153604,4.5667765489,4879354.02453775,2062715.49691628
"111001015938","San Cristobal",2,-74.0896201297,4.5637658767,4879175.55263886,2062383.04868554
"111001015911","San Cristobal",2,-74.0847709204,4.5527804237,4879711.50284563,2061168.20663455
"111001015920","San Cristobal",2,-74.0879137097,4.5507041304,4879362.61663903,2060939.27466521
"111001801454","San Cristobal",NA,-74.0823115003,4.5546634561,4879984.56839652,2061375.89559321
"111001016004","San Cristobal",2,-74.0921943599,4.5304447446,4878884.50455714,2058701.07132209
"111001016012","San Cristobal",2,-74.0897728504,4.5328874396,4879153.46827046,2058970.61596225
"111001018252","San Cristobal",2,-74.1009424003,4.5593285944,4877919.16042412,2061894.58093743
"111001018309","San Cristobal",2,-74.0937410504,4.5568469221,4878717.38132972,2061619.10826043
"111001018325","San Cristobal",2,-74.0929046003,4.5597687432,4878810.63424664,2061941.86627118
"111001020451","San Cristobal",2,-74.0884391702,4.555608564,4879305.15947687,2061481.36435356
"111001018333","San Cristobal",2,-74.0952428997,4.5513104574,4878549.89553357,2061007.51040805
"111001016284","San Cristobal",2,-74.0926140699,4.5459726046,4878840.54609808,2060417.16776511
"111001018341","San Cristobal",2,-74.0934043304,4.5652077689,4878756.1263514,2062543.0325126
"111001018414","San Cristobal",NA,-74.0948901996,4.5660407356,4878591.48350975,2062635.33657402
"111001018368","San Cristobal",2,-74.0934270299,4.5522570383,4878751.43781817,2061111.81446631
"111001018406","San Cristobal",2,-74.0937476404,4.5542464926,4878716.21470686,2061331.72854948
"111001018384","San Cristobal",3,-74.1011048004,4.565596407,4877902.20909193,2062587.2839916
"111001035548","San Cristobal",2,-74.1019839798,4.564040537,4877804.44468627,2062415.48911259
"111001020338","San Cristobal",3,-74.0853800501,4.5766858012,4879647.93280199,2063810.15249043
"111001020443","San Cristobal",2,-74.0975136099,4.5480264412,4878297.51724037,2060644.9665131
"111001029106","San Cristobal",2,-74.1009140701,4.5462666644,4877920.10033504,2060451.06195245
"111001032468","San Cristobal",NA,-74.0987099296,4.5443233498,4878164.21996482,2060235.9284812
"111001041548","San Cristobal",2,-74.0937325604,4.5411992076,4878715.70442468,2059889.83392477
"111001024686","San Cristobal",NA,-74.0805536203,4.5415110253,4880177.34538441,2059922.09759226
"111001012289","San Cristobal",2,-74.0827971098,4.5375978887,4879927.88837633,2059490.01952022
"111001012319","San Cristobal",2,-74.0826270802,4.5405661827,4879947.23588669,2059818.02455223
"111001027324","San Cristobal",3,-74.09635027,4.567173437,4878429.75254144,2062760.76127604
"111001030066","San Cristobal",2,-74.0853761101,4.5712966822,4879647.46992971,2063214.5863886
"111001030864","San Cristobal",NA,-74.0950743497,4.5558777758,4878569.35408384,2061512.22953349
"111001029629","San Cristobal",2,-74.10021373,4.5582556481,4877999.78978438,2061775.88293916
"111001032280","San Cristobal",2,-74.0870651503,4.5651731269,4879459.13470141,2062538.1392761
"111001014419","San Cristobal",2,-74.0883080099,4.5615573739,4879320.69791931,2062138.76109395
"111001012416","San Cristobal",2,-74.08650367,4.561520896,4879520.79369205,2062134.42776318
"111001032433","San Cristobal",2,-74.0802810104,4.5769179146,4880213.44376204,2063834.95105651
"111001014311","San Cristobal",2,-74.0770818204,4.5750122972,4880567.91046723,2063623.82387112
"111001034011","San Cristobal",1,-74.0898860103,4.5225580541,4879139.20393357,2057829.10749775
"111001016276","San Cristobal",1,-74.0878160098,4.5198221153,4879368.32750833,2057526.40796107
