divipola,municipio,departamento,tipo,desercion,clase_equal,clase_quantile,clase_fisher,clase_sd,clase_headtails
50606,Restrepo,Meta,Municipio,2.36,1,2,2,1,1
50680,San Carlos de Guaroa,Meta,Municipio,8.11,3,5,5,3,2
50683,San Juan de Arama,Meta,Municipio,5.46,2,5,4,2,2
50686,San Juanito,Meta,Municipio,3.06,2,3,2,1,1
50689,San Mart<U+00ED>n,Meta,Municipio,6.95,3,5,5,2,2
52036,Ancuy<U+00E1>,Nari<U+00F1>o,Municipio,1.05,1,1,1,1,1
52051,Arboleda,Nari<U+00F1>o,Municipio,1.27,1,1,1,1,1
52083,Bel<U+00E9>n,Nari<U+00F1>o,Municipio,1.75,1,1,1,1,1
52110,Buesaco,Nari<U+00F1>o,Municipio,2.16,1,2,2,1,1
52203,Col<U+00F3>n,Nari<U+00F1>o,Municipio,3.38,2,3,3,1,1
52207,Consaca,Nari<U+00F1>o,Municipio,3.29,2,3,3,1,1
52210,Contadero,Nari<U+00F1>o,Municipio,1.49,1,1,1,1,1
52215,C<U+00F3>rdoba,Nari<U+00F1>o,Municipio,1.48,1,1,1,1,1
52224,Cuaspud,Nari<U+00F1>o,Municipio,1.48,1,1,1,1,1
52227,Cumbal,Nari<U+00F1>o,Municipio,0.86,1,1,1,1,1
52233,Cumbitara,Nari<U+00F1>o,Municipio,4.72,2,4,4,2,2
52240,Chachag<U+00FC><U+00ED>,Nari<U+00F1>o,Municipio,2.55,1,2,2,1,1
52254,El Pe<U+00F1>ol,Nari<U+00F1>o,Municipio,0.41,1,1,1,1,1
52256,El Rosario,Nari<U+00F1>o,Municipio,2.43,1,2,2,1,1
52258,El Tabl<U+00F3>n de G<U+00F3>mez,Nari<U+00F1>o,Municipio,1.52,1,1,1,1,1
52287,Funes,Nari<U+00F1>o,Municipio,0.73,1,1,1,1,1
52320,Guaitarilla,Nari<U+00F1>o,Municipio,0.15,1,1,1,1,1
52323,Gualmat<U+00E1>n,Nari<U+00F1>o,Municipio,1.73,1,1,1,1,1
52352,Iles,Nari<U+00F1>o,Municipio,1.9,1,1,1,1,1
52354,Imu<U+00E9>s,Nari<U+00F1>o,Municipio,0.44,1,1,1,1,1
52378,La Cruz,Nari<U+00F1>o,Municipio,1.52,1,1,1,1,1
52385,La Llanada,Nari<U+00F1>o,Municipio,2.58,1,2,2,1,1
52399,La Uni<U+00F3>n,Nari<U+00F1>o,Municipio,1.59,1,1,1,1,1
52411,Linares,Nari<U+00F1>o,Municipio,2.37,1,2,2,1,1
52418,Los Andes,Nari<U+00F1>o,Municipio,2.61,1,2,2,1,1
52480,Nari<U+00F1>o,Nari<U+00F1>o,Municipio,0.65,1,1,1,1,1
52565,Providencia,Nari<U+00F1>o,Municipio,3.52,2,3,3,2,2
52573,Puerres,Nari<U+00F1>o,Municipio,2.06,1,2,2,1,1
52585,Pupiales,Nari<U+00F1>o,Municipio,1.55,1,1,1,1,1
52612,Ricaurte,Nari<U+00F1>o,Municipio,2.55,1,2,2,1,1
52685,San Bernardo,Nari<U+00F1>o,Municipio,2.19,1,2,2,1,1
52687,San Lorenzo,Nari<U+00F1>o,Municipio,2.33,1,2,2,1,1
52694,San Pedro de Cartago,Nari<U+00F1>o,Municipio,3.4,2,3,3,1,1
